# Fitting Function: FitLee_polyhedra
# Date of fit: 03-Jan-2019 12:43:01
# Who did the fit: blee
# Computer name: BDLPC
# Fit parameter ============= 
fn0 5.83750000e+00 1 1.00000000e-05 1.00000000e+02
delta_rho0 4.66000000e+00 0 NaN NaN
edgelength 2.44835190e+01 1 1.50000000e+01 5.00000000e+01
sig0 2.48590100e+00 1 1.00000000e-01 5.00000000e+00
Nratio 0.00000000e+00 0 NaN NaN
delta_rho1 4.66000000e+00 0 NaN NaN
r1 0.00000000e+00 0 NaN NaN
sig1 0.00000000e+00 0 NaN NaN
D 4.91494000e+01 1 2.00000000e+01 4.91494000e+01
vf 1.36890000e-02 0 4.56300000e-04 2.00000000e-02
powI 1.18000000e-04 1 9.83500000e-08 2.95050000e-04
PorodExp -1.93599200e+00 1 -3.43136000e+00 -1.14379000e+00
poly1 0.00000000e+00 0 NaN NaN
poly2 0.00000000e+00 0 NaN NaN
poly3 -1.99900000e-03 0 -2.99850000e-03 -9.99500000e-04
poly4 1.91870000e-02 0 9.59350000e-03 2.87805000e-02
# Fit range ============= 
Min 32
Max 379
# data ====================== 
0.00350000	0.00000000	45.03552232
0.00360000	0.00000000	42.92582727
0.00370286	0.00000000	40.92813009
0.00380866	0.00000000	39.03652329
0.00391748	11.45496600	37.24540006
0.00402941	37.77028800	35.54935395
0.00414454	22.24919100	33.94337043
0.00426296	29.73725700	32.42270467
0.00438476	23.26230700	30.98263639
0.00451004	31.91126300	29.61907093
0.00463890	30.83226400	28.32795842
0.00477145	30.20883700	27.10508508
0.00490778	29.43762300	25.94721071
0.00504800	27.22627800	24.85091768
0.00519223	27.34511200	23.81278964
0.00534059	24.93466600	22.82964850
0.00549318	24.21126200	21.89882076
0.00565013	23.58485300	21.01749257
0.00581156	22.46644900	20.18286075
0.00597761	20.91824700	19.39253604
0.00614841	19.80306000	18.64423569
0.00632408	19.49455200	17.93557474
0.00650477	18.57413800	17.26453380
0.00669062	17.33033200	16.62918345
0.00688179	17.27574500	16.02757189
0.00707842	16.26414900	15.45788931
0.00728066	15.48755500	14.91839601
0.00748868	15.10266200	14.40763031
0.00770265	14.28725400	13.92406141
0.00792273	13.83035400	13.46601440
0.00814910	13.54366800	13.03231585
0.00838194	12.91516300	12.62176218
0.00862143	12.38808500	12.23297085
0.00886776	12.07870700	11.86475544
0.00912113	11.54282000	11.51621905
0.00938174	11.36997200	11.18617169
0.00964979	10.77791200	10.87358738
0.00992551	10.69844200	10.57770798
0.01020910	10.13990900	10.29750949
0.01050080	10.06804700	10.03216297
0.01080083	9.64538290	9.78101784
0.01110943	9.44842090	9.54309542
0.01142685	9.17122940	9.31787427
0.01175333	8.97505400	9.10462178
0.01208915	8.76761590	8.90271726
0.01243456	8.64324500	8.71156425
0.01278984	8.43059760	8.53047231
0.01315528	8.26581030	8.35898299
0.01353115	8.14625980	8.19671676
0.01391776	8.02320390	8.04309100
0.01431542	7.86879760	7.89739386
0.01472444	7.80669810	7.75944707
0.01514515	7.71019690	7.62899693
0.01557788	7.58887060	7.50540784
0.01602297	7.47366930	7.38803141
0.01648078	7.33934980	7.27704788
0.01695167	7.23627560	7.17213973
0.01743601	7.14319290	7.07220434
0.01793420	7.02645170	6.97766651
0.01844661	6.93677290	6.88826106
0.01897367	6.84490310	6.80311716
0.01951579	6.77917630	6.72243037
0.02007339	6.67371770	6.64597264
0.02064693	6.59839510	6.57310475
0.02123686	6.53040560	6.50397193
0.02184364	6.47673910	6.43815144
0.02246776	6.41257440	6.37544651
0.02310971	6.34044120	6.31571212
0.02377000	6.29745470	6.25861847
0.02444916	6.23233810	6.20400550
0.02514772	6.18772880	6.15168480
0.02586624	6.12997390	6.10145417
