%I(h,k,l) =  |F(h,k,l)|^2/<P(h,k,l)>/M x <P(h,k,l)> x M x factor(Lorentz and Geometric)
%h, k, l, qx, qy, qz, |F(h,k,l)|^2/<P(h,k,l)>/M, <P(h,k,l)>, M, factor(Lorentz and Geometric)
1 1 -2 8.989000000e-03 8.989000000e-03 -1.797800000e-02 1.927884698e+00     0.000000000 1   164.140640867
1 2 -1 8.989000000e-03 1.797800000e-02 -8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
1 -1 -2 8.989000000e-03 -8.989000000e-03 -1.797800000e-02 1.927884698e+00     0.000000000 1   164.140640867
1 -2 -1 8.989000000e-03 -1.797800000e-02 -8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
-1 2 -1 -8.989000000e-03 1.797800000e-02 -8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
-2 1 -1 -1.797800000e-02 8.989000000e-03 -8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
-1 1 -2 -8.989000000e-03 8.989000000e-03 -1.797800000e-02 1.927884698e+00     0.000000000 1   164.140640867
2 -1 -1 1.797800000e-02 -8.989000000e-03 -8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
-2 -1 -1 -1.797800000e-02 -8.989000000e-03 -8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
-1 -1 -2 -8.989000000e-03 -8.989000000e-03 -1.797800000e-02 1.927884698e+00     0.000000000 1   164.140640867
-1 -2 -1 -8.989000000e-03 -1.797800000e-02 -8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
-2 -1 1 -1.797800000e-02 -8.989000000e-03 8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
-1 -1 2 -8.989000000e-03 -8.989000000e-03 1.797800000e-02 1.927884698e+00     0.000000000 1   164.140640867
-1 -2 1 -8.989000000e-03 -1.797800000e-02 8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
-1 1 2 -8.989000000e-03 8.989000000e-03 1.797800000e-02 1.927884698e+00     0.000000000 1   164.140640867
-1 2 1 -8.989000000e-03 1.797800000e-02 8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
1 -2 1 8.989000000e-03 -1.797800000e-02 8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
2 -1 1 1.797800000e-02 -8.989000000e-03 8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
1 -1 2 8.989000000e-03 -8.989000000e-03 1.797800000e-02 1.927884698e+00     0.000000000 1   164.140640867
-2 1 1 -1.797800000e-02 8.989000000e-03 8.989000000e-03 1.927884698e+00     0.000000000 1   164.140640867
2 2 0 1.797800000e-02 1.797800000e-02 0.000000000e+00 2.538557785e-03     0.000000000 1   123.105480650
2 0 2 1.797800000e-02 0.000000000e+00 1.797800000e-02 2.538557785e-03     0.000000000 1   123.105480650
0 2 2 0.000000000e+00 1.797800000e-02 1.797800000e-02 2.538557785e-03     0.000000000 1   123.105480650
2 0 -2 1.797800000e-02 0.000000000e+00 -1.797800000e-02 2.538557785e-03     0.000000000 1   123.105480650
0 2 -2 0.000000000e+00 1.797800000e-02 -1.797800000e-02 2.538557785e-03     0.000000000 1   123.105480650
-2 2 0 -1.797800000e-02 1.797800000e-02 0.000000000e+00 2.538557785e-03     0.000000000 1   123.105480650
-2 -2 0 -1.797800000e-02 -1.797800000e-02 0.000000000e+00 2.538557785e-03     0.000000000 1   123.105480650
-2 0 -2 -1.797800000e-02 0.000000000e+00 -1.797800000e-02 2.538557785e-03     0.000000000 1   123.105480650
0 -2 -2 0.000000000e+00 -1.797800000e-02 -1.797800000e-02 2.538557785e-03     0.000000000 1   123.105480650
-2 0 2 -1.797800000e-02 0.000000000e+00 1.797800000e-02 2.538557785e-03     0.000000000 1   123.105480650
0 -2 2 0.000000000e+00 -1.797800000e-02 1.797800000e-02 2.538557785e-03     0.000000000 1   123.105480650
2 -2 0 1.797800000e-02 -1.797800000e-02 0.000000000e+00 2.538557785e-03     0.000000000 1   123.105480650
3 1 0 2.696700000e-02 8.989000000e-03 0.000000000e+00 2.541025216e-03     0.000000000 1    98.484384520
1 0 3 8.989000000e-03 0.000000000e+00 2.696700000e-02 2.541025216e-03     0.000000000 1    98.484384520
0 3 1 0.000000000e+00 2.696700000e-02 8.989000000e-03 2.541025216e-03     0.000000000 1    98.484384520
1 0 -3 8.989000000e-03 0.000000000e+00 -2.696700000e-02 2.541025216e-03     0.000000000 1    98.484384520
0 3 -1 0.000000000e+00 2.696700000e-02 -8.989000000e-03 2.541025216e-03     0.000000000 1    98.484384520
-3 1 0 -2.696700000e-02 8.989000000e-03 0.000000000e+00 2.541025216e-03     0.000000000 1    98.484384520
1 3 0 8.989000000e-03 2.696700000e-02 0.000000000e+00 2.541025216e-03     0.000000000 1    98.484384520
0 1 3 0.000000000e+00 8.989000000e-03 2.696700000e-02 2.541025216e-03     0.000000000 1    98.484384520
3 0 1 2.696700000e-02 0.000000000e+00 8.989000000e-03 2.541025216e-03     0.000000000 1    98.484384520
0 1 -3 0.000000000e+00 8.989000000e-03 -2.696700000e-02 2.541025216e-03     0.000000000 1    98.484384520
3 0 -1 2.696700000e-02 0.000000000e+00 -8.989000000e-03 2.541025216e-03     0.000000000 1    98.484384520
1 -3 0 8.989000000e-03 -2.696700000e-02 0.000000000e+00 2.541025216e-03     0.000000000 1    98.484384520
-3 -1 0 -2.696700000e-02 -8.989000000e-03 0.000000000e+00 2.541025216e-03     0.000000000 1    98.484384520
-1 0 -3 -8.989000000e-03 0.000000000e+00 -2.696700000e-02 2.541025216e-03     0.000000000 1    98.484384520
0 -3 -1 0.000000000e+00 -2.696700000e-02 -8.989000000e-03 2.541025216e-03     0.000000000 1    98.484384520
-1 0 3 -8.989000000e-03 0.000000000e+00 2.696700000e-02 2.541025216e-03     0.000000000 1    98.484384520
0 -3 1 0.000000000e+00 -2.696700000e-02 8.989000000e-03 2.541025216e-03     0.000000000 1    98.484384520
3 -1 0 2.696700000e-02 -8.989000000e-03 0.000000000e+00 2.541025216e-03     0.000000000 1    98.484384520
-1 -3 0 -8.989000000e-03 -2.696700000e-02 0.000000000e+00 2.541025216e-03     0.000000000 1    98.484384520
0 -1 -3 0.000000000e+00 -8.989000000e-03 -2.696700000e-02 2.541025216e-03     0.000000000 1    98.484384520
-3 0 -1 -2.696700000e-02 0.000000000e+00 -8.989000000e-03 2.541025216e-03     0.000000000 1    98.484384520
0 -1 3 0.000000000e+00 -8.989000000e-03 2.696700000e-02 2.541025216e-03     0.000000000 1    98.484384520
-3 0 1 -2.696700000e-02 0.000000000e+00 8.989000000e-03 2.541025216e-03     0.000000000 1    98.484384520
-1 3 0 -8.989000000e-03 2.696700000e-02 0.000000000e+00 2.541025216e-03     0.000000000 1    98.484384520
2 2 2 1.797800000e-02 1.797800000e-02 1.797800000e-02 1.663175030e+00     0.000000000 1    82.070320433
2 2 -2 1.797800000e-02 1.797800000e-02 -1.797800000e-02 1.663175030e+00     0.000000000 1    82.070320433
2 -2 -2 1.797800000e-02 -1.797800000e-02 -1.797800000e-02 1.663175030e+00     0.000000000 1    82.070320433
