%q Iq Pq Sq Zq Bq Bq2
7.689630800e-03 1.102061710e+01 2.035396099e-12 8.409602652e-02 6.997884306e-03 9.999999952e-01 1.000000000e+00
7.742434600e-03 1.091193588e+01 2.034700149e-12 8.411806893e-02 7.042313075e-03 9.999999951e-01 1.000000000e+00
7.795238400e-03 1.080693088e+01 2.033999645e-12 8.414093037e-02 7.087267666e-03 9.999999951e-01 1.000000000e+00
7.848042200e-03 1.070545855e+01 2.033294589e-12 8.416462775e-02 7.132757367e-03 9.999999950e-01 1.000000000e+00
7.900846000e-03 1.060738210e+01 2.032584987e-12 8.418917822e-02 7.178791693e-03 9.999999949e-01 1.000000000e+00
7.953649700e-03 1.051257130e+01 2.031870845e-12 8.421459910e-02 7.225380303e-03 9.999999949e-01 1.000000000e+00
8.006453500e-03 1.042090140e+01 2.031152163e-12 8.424090810e-02 7.272533359e-03 9.999999948e-01 1.000000000e+00
8.059257300e-03 1.033225394e+01 2.030428948e-12 8.426812303e-02 7.320261010e-03 9.999999947e-01 1.000000000e+00
8.112061100e-03 1.024651568e+01 2.029701204e-12 8.429626201e-02 7.368573746e-03 9.999999947e-01 1.000000000e+00
8.164864900e-03 1.016357859e+01 2.028968936e-12 8.432534341e-02 7.417482327e-03 9.999999946e-01 1.000000000e+00
8.217668700e-03 1.008333949e+01 2.028232147e-12 8.435538587e-02 7.466997784e-03 9.999999945e-01 1.000000000e+00
8.270472400e-03 1.000570003e+01 2.027490843e-12 8.438640826e-02 7.517131338e-03 9.999999945e-01 1.000000000e+00
8.323276200e-03 9.930565804e+00 2.026745027e-12 8.441842991e-02 7.567894791e-03 9.999999944e-01 1.000000000e+00
8.376080000e-03 9.857847090e+00 2.025994704e-12 8.445147026e-02 7.619299965e-03 9.999999943e-01 1.000000000e+00
8.428883800e-03 9.787457982e+00 2.025239878e-12 8.448554913e-02 7.671359094e-03 9.999999942e-01 1.000000000e+00
8.481687600e-03 9.719316384e+00 2.024480554e-12 8.452068664e-02 7.724084742e-03 9.999999942e-01 1.000000000e+00
8.534491300e-03 9.653343930e+00 2.023716738e-12 8.455690320e-02 7.777489710e-03 9.999999941e-01 1.000000000e+00
8.587295100e-03 9.589465328e+00 2.022948432e-12 8.459421973e-02 7.831587458e-03 9.999999940e-01 1.000000000e+00
8.640098900e-03 9.527608931e+00 2.022175641e-12 8.463265732e-02 7.886391515e-03 9.999999940e-01 1.000000000e+00
8.692902700e-03 9.467706091e+00 2.021398371e-12 8.467223749e-02 7.941915890e-03 9.999999939e-01 1.000000000e+00
8.745706500e-03 9.409691129e+00 2.020616626e-12 8.471298215e-02 7.998174993e-03 9.999999938e-01 1.000000000e+00
8.798510200e-03 9.353501308e+00 2.019830412e-12 8.475491352e-02 8.055183542e-03 9.999999937e-01 1.000000000e+00
8.851314000e-03 9.299076272e+00 2.019039731e-12 8.479805446e-02 8.112957013e-03 9.999999937e-01 1.000000000e+00
8.904117800e-03 9.246358566e+00 2.018244589e-12 8.484242805e-02 8.171511010e-03 9.999999936e-01 1.000000000e+00
8.956921600e-03 9.195293090e+00 2.017444991e-12 8.488805787e-02 8.230861719e-03 9.999999935e-01 1.000000000e+00
9.009725400e-03 9.145827088e+00 2.016640941e-12 8.493496798e-02 8.291025818e-03 9.999999934e-01 1.000000000e+00
9.062529100e-03 9.097910143e+00 2.015832447e-12 8.498318285e-02 8.352020389e-03 9.999999933e-01 1.000000000e+00
9.115332900e-03 9.051493707e+00 2.015019509e-12 8.503272771e-02 8.413863400e-03 9.999999933e-01 1.000000000e+00
9.168136700e-03 9.006531557e+00 2.014202134e-12 8.508362809e-02 8.476573044e-03 9.999999932e-01 1.000000000e+00
9.220940500e-03 8.962979341e+00 2.013380327e-12 8.513591015e-02 8.540168226e-03 9.999999931e-01 1.000000000e+00
9.273744200e-03 8.920794658e+00 2.012554095e-12 8.518960055e-02 8.604668352e-03 9.999999930e-01 1.000000000e+00
9.326548000e-03 8.879936668e+00 2.011723439e-12 8.524472687e-02 8.670093859e-03 9.999999930e-01 1.000000000e+00
9.379351800e-03 8.840366492e+00 2.010888366e-12 8.530131707e-02 8.736465515e-03 9.999999929e-01 1.000000000e+00
9.432155600e-03 8.802046818e+00 2.010048881e-12 8.535939987e-02 8.803804941e-03 9.999999928e-01 1.000000000e+00
9.484959400e-03 8.764941919e+00 2.009204988e-12 8.541900474e-02 8.872134538e-03 9.999999927e-01 1.000000000e+00
9.537763100e-03 8.729017651e+00 2.008356695e-12 8.548016183e-02 8.941477398e-03 9.999999926e-01 1.000000000e+00
9.590566900e-03 8.694241126e+00 2.007504003e-12 8.554290244e-02 9.011857880e-03 9.999999925e-01 1.000000000e+00
9.643370700e-03 8.660581064e+00 2.006646919e-12 8.560725841e-02 9.083300878e-03 9.999999925e-01 1.000000000e+00
9.696174500e-03 8.628007462e+00 2.005785448e-12 8.567326262e-02 9.155832406e-03 9.999999924e-01 1.000000000e+00
9.748978200e-03 8.596491678e+00 2.004919598e-12 8.574094884e-02 9.229479391e-03 9.999999923e-01 1.000000000e+00
9.801782000e-03 8.566006141e+00 2.004049368e-12 8.581035228e-02 9.304270308e-03 9.999999922e-01 1.000000000e+00
9.854585800e-03 8.536524670e+00 2.003174768e-12 8.588150890e-02 9.380234422e-03 9.999999921e-01 1.000000000e+00
9.907389600e-03 8.508022189e+00 2.002295801e-12 8.595445605e-02 9.457402437e-03 9.999999920e-01 1.000000000e+00
9.960193300e-03 8.480474805e+00 2.001412475e-12 8.602923224e-02 9.535806304e-03 9.999999920e-01 1.000000000e+00
1.001299700e-02 8.453859614e+00 2.000524793e-12 8.610587769e-02 9.615479781e-03 9.999999919e-01 1.000000000e+00
1.006580100e-02 8.428154687e+00 1.999632756e-12 8.618443452e-02 9.696458577e-03 9.999999918e-01 1.000000000e+00
1.011860500e-02 8.403339429e+00 1.998736373e-12 8.626494563e-02 9.778779268e-03 9.999999917e-01 1.000000000e+00
1.017140800e-02 8.379394544e+00 1.997835668e-12 8.634745462e-02 9.862479214e-03 9.999999916e-01 1.000000000e+00
1.022421200e-02 8.356300376e+00 1.996930612e-12 8.643201182e-02 9.947602659e-03 9.999999915e-01 1.000000000e+00
1.027701600e-02 8.334039606e+00 1.996021226e-12 8.651866509e-02 1.003419142e-02 9.999999914e-01 1.000000000e+00
1.032982000e-02 8.312595410e+00 1.995107517e-12 8.660746629e-02 1.012229145e-02 9.999999914e-01 1.000000000e+00
1.038262400e-02 8.291951907e+00 1.994189489e-12 8.669846997e-02 1.021195151e-02 9.999999913e-01 1.000000000e+00
